condition,overall (n),orientation,depth,horizontal,containment,topology_contact
2B zero-shot,-,0.628,0.689,0.702,0.834,0.805
2B structured,-,0.533,0.649,0.667,0.787,0.717
2B General LoRA,-,0.620,0.711,0.743,0.876,0.810
2B Targeted LoRA,-,0.642,0.708,0.751,0.876,0.814
7B zero-shot,-,0.635,0.752,0.848,0.893,0.803
7B General LoRA,-,0.657,0.823,0.874,0.929,0.844
7B Targeted LoRA,-,0.642,0.817,0.871,0.917,0.853
7B Hard-Neg LoRA,-,0.664,0.807,0.871,0.899,0.846
7B Projector LoRA,-,0.642,0.786,0.871,0.893,0.853
7B Vision+Projector LoRA,-,0.642,0.780,0.871,0.899,0.844
